label,task_idx,p00,p01,p10,p11,Delta_mean,Delta_peak,Delta_stability,Theta_mean,Theta_peak,Theta_stability,Alpha_mean,Alpha_peak,Alpha_stability,Beta_mean,Beta_peak,Beta_stability,Gamma_mean,Gamma_peak,Gamma_stability
P2,14,0.38,0.13,0.31,0.18,35.992322593515,115.58489260342712,-37.193865318440224,5.425955795825106,22.002960851111876,-5.972491523077012,12.635031167028194,54.17306563198091,-10.074298105609635,8.071615631432566,19.64249830303195,-3.776545722698557,2.8373377058641274,5.327121214029541,-1.2349473000608375
P2,15,0.27,0.19,0.33,0.21,34.496829249294464,75.13221031218207,-18.135388683533694,11.257057697926815,26.538378975822297,-6.404969032914442,71.47431256213946,182.5711200621987,-51.4588333191806,11.78904271051683,23.809039389588555,-3.8959441173532787,2.9722692156400345,6.052159633517249,-1.2440240741974755
P2,16,0.38,0.2,0.23,0.19,107.75685879562121,283.2914934646115,-84.05857717862592,11.316403219514049,41.08325188787763,-9.64556658139956,21.88414429557959,102.79299200573851,-18.256159212920334,13.515483546753579,40.35096950396241,-7.808673621583282,2.485603239258505,9.771086848591736,-2.4143835504557076
P2,17,0.28,0.14,0.27,0.31,499.37097502740494,2663.6701273416243,-725.7069594027136,15.734002210188518,63.21474934380052,-15.160333555973127,10.637704563600481,32.55400801936304,-8.727877071811971,9.405323115943618,20.26944068783552,-3.944403313594229,2.784419975678258,6.4018036787124935,-1.4842668502631404
P2,18,0.26,0.26,0.29,0.19,811.8286922778183,3256.397255603856,-975.9504786986959,11.43310075042511,23.00142974382558,-5.426582922907807,4.636243765116569,17.7617698300114,-4.103710852808273,5.540194864539402,11.520731008024773,-2.111886607668719,1.948621810955177,7.069374482990772,-1.4397131507257228
P2,19,0.33,0.18,0.26,0.23,49.302887042256174,80.75296778745543,-16.22457509194669,11.981833247881282,35.98975839153356,-10.126170942696222,84.92652236253183,241.25731550843557,-62.73351032729153,16.609244486161217,30.119713331377294,-5.3897215143526465,9.320179759613781,40.626649006730204,-10.874786951104797
P2,20,0.36,0.14,0.26,0.24,36.46571285159261,112.15279771168093,-29.24029183542695,12.092684878517808,25.475958444194365,-5.971095621738321,79.4263539678347,241.40456200385393,-73.23169688526848,10.972600016146485,19.042115110473688,-2.926101898875946,3.941382146177503,7.897302790827152,-1.9513908790133292
P2,21,0.27,0.21,0.34,0.18,33.007730885882665,62.80448166244688,-16.35482224986088,14.920039512223706,31.440846507223384,-7.31939887729759,95.24864487324402,231.44600066454615,-62.49720508856581,16.233226331494947,41.0655547195196,-9.7294283531686,2.6295030611009027,5.0221537404107615,-1.234856077448473
P2,22,0.3,0.21,0.25,0.24,120.04581445509322,292.88448141682466,-86.74455514111774,10.065234208709796,40.4062401256037,-9.816384834779061,82.61394897747805,207.38113812034115,-49.710513432256846,14.34978826256,30.66372235671585,-6.743087604144279,3.057753822905527,10.604454542839836,-2.645735853679811
P2,23,0.35,0.2,0.26,0.19,41.22914165452079,92.12430577266551,-29.394251073493614,12.669846577798172,68.18650265371761,-18.542669099215782,95.03833346761843,252.92986421048516,-62.0030745260839,14.95848844736955,31.097144723119754,-6.818706251634207,2.9623935637587513,5.748304874642077,-1.1348785816189417
P2,24,0.25,0.24,0.35,0.16,73.78923621512207,238.7739082526001,-56.33126488351318,11.177414404207262,53.074042114876406,-12.384091494798378,73.68679478085505,152.04094439185056,-44.28603853464719,12.158049708373843,22.411233991892463,-4.5225423925044295,3.881744203099853,8.216289959410453,-1.8297089450969788
P2,25,0.38,0.22,0.29,0.11,56.652323643832574,141.47695804577614,-41.90276582809565,7.485232837482901,36.289520689424265,-6.299954366249877,24.17115982489711,121.24405918188926,-25.886145830737803,9.256191711046135,24.239099648010267,-3.649577326096871,3.7388443281028225,9.826653651048309,-2.485012825246019
P2,26,0.26,0.18,0.24,0.32,56.62387391343499,100.03197964513367,-22.563333972572284,14.652842766896029,31.22789821753714,-7.51653436861493,51.76620036252943,110.9341291333653,-25.53574459204324,24.62591063547034,43.715973166768926,-10.54077983095691,3.3768367350279727,6.580137952863426,-1.284579110730226
P2,27,0.28,0.18,0.32,0.22,32.94951688894001,99.58177373737476,-30.69581287326037,8.994599903828014,17.878601214001193,-4.524413328890812,39.54027809453565,115.82106716064436,-32.073623224633295,14.897044683155139,32.35440451947581,-6.381756527689067,2.8287113830176525,6.691138862452803,-1.8418547017735691
P2,28,0.27,0.26,0.21,0.26,1577.8663166485449,4372.930472994185,-1597.9206151691917,34.174999539283746,144.23962828548034,-38.313766733959795,46.531718565979716,151.47301125301578,-45.30612537214994,133.42663448593004,337.58245181447285,-98.64515015772128,63.68823699431684,131.3243120676316,-33.20615696882577
P2,29,0.37,0.21,0.22,0.2,32.69287775192346,100.83634216322548,-25.314307050623324,17.240908752108755,68.23869968950122,-17.410993566675135,55.156685530181754,197.6521985556511,-40.21385298475868,14.098969224392686,29.51006568750808,-5.618192112608935,2.6207094070007404,6.840107247252517,-1.490985779943393
P2,30,0.3,0.14,0.25,0.31,592.5609479664939,2558.479099175417,-736.2161434347545,30.93246835436241,75.36042750123559,-21.865664338979318,11.165910536177957,29.794362126049553,-6.9180474257228495,23.28141344333417,63.67329873203345,-14.756002278134714,10.579046103730251,22.393826768457874,-5.137748607011069
P3,1,0.36,0.23,0.2,0.21,114.57687600267332,426.7352311640034,-139.7893132129798,9.497538826502176,28.124470638667514,-8.039042008509849,80.03187746563859,191.9422021618713,-45.89639976096109,33.84309395667421,59.0951120501894,-10.576623784881798,2.7896238650854173,5.738083581532104,-1.2027789605972592
P3,2,0.34,0.29,0.22,0.15,137.2368300086223,309.4661697462319,-72.0981775351277,19.005608099537795,70.84206420530616,-13.505368810546843,48.04072536701425,195.05049119316698,-48.56973533921626,24.50051328165393,40.996924282830456,-6.845832729195666,3.565086289395247,9.487888964797982,-2.532069343514122
P3,3,0.36,0.19,0.23,0.22,338.1720627924178,1640.4688044407612,-409.6294209957732,44.89275420523943,113.38903147901212,-31.467247452937865,74.99168068316499,202.74636854902323,-49.61237439232246,23.253741629831786,60.4182144717676,-15.592425139484112,2.006187235158746,3.8923485688584982,-0.8613921065600815
P3,4,0.33,0.2,0.25,0.22,635.3437945341336,1702.3969372352349,-470.72161698565117,13.699325094927923,54.78638949919595,-11.170175893671662,46.91314052081415,116.52105001587888,-32.10242632654633,20.885201574398543,60.66546577347667,-13.203643958887966,2.2912998024364066,6.843587613033019,-1.6031121345721382
P3,5,0.37,0.21,0.25,0.17,276.96379057007914,619.964090010028,-177.2786183839859,27.73464678535499,102.33762078615254,-30.458845831146636,27.79167249952348,87.37563156923221,-22.792925381130214,15.672149579043662,29.66790800490872,-6.952853129031924,1.496085365272843,3.1045800591807025,-0.7261582456049099
P3,6,0.29,0.2,0.27,0.24,499.98825373934534,1156.0504697829226,-316.33481693242186,19.125798066888695,63.79868050540424,-16.267879330636642,39.687647058813,146.23564562522415,-39.70320446093032,23.329515688601322,43.962747796318446,-9.708128761451421,5.920828957255097,20.013884401928618,-6.177550519747872
P3,7,0.28,0.23,0.27,0.22,429.867279572563,1510.2625945838317,-425.06934486182496,23.423677102547245,60.33923759701274,-15.057738381329848,43.75005998138573,147.97487560538804,-45.03436199759252,23.894087675129224,43.38337756878346,-6.944263631247148,8.753784218817955,55.29835296559509,-16.380050948854272
P3,8,0.35,0.18,0.37,0.1,359.6133949536641,856.5342329488167,-257.78405923926607,20.428210299665167,63.74299311408905,-15.465569355414415,33.795401858287065,136.13759641149335,-38.04024290479617,19.99951743077746,45.77658551566442,-11.783966875072304,2.6628055452578225,7.846990196436385,-1.6007020755208612
P3,9,0.4,0.29,0.18,0.13,109.07640361533848,298.2352814433152,-88.79055890104657,14.673168282143163,40.92852759447613,-11.297634591372637,16.289026088498847,34.66192349836889,-7.5782857629423015,34.33102087045265,69.03355587707225,-14.029047231197358,2.0095459923736883,4.656395459572652,-1.0862912265474503
P3,10,0.24,0.26,0.3,0.2,172.24791468533175,389.91719556294703,-116.89597370743435,13.709671418263904,45.652182682800486,-10.68766929827723,61.91752832129947,148.42657271915363,-42.96757303175638,22.789547394198777,42.50189520950178,-8.68579204562073,3.4894813148492836,8.198605016823329,-1.8527503702601311
P3,11,0.33,0.2,0.2,0.27,150.8035005255448,603.506676151778,-186.99666740816298,22.06874866141545,54.04172487459299,-13.40154419526985,23.631410882709456,111.26243520964482,-22.896399133110982,18.359449059863667,32.15254849498476,-7.904900901964104,3.394699020434592,6.710569546191657,-1.613551201809992
P3,12,0.38,0.23,0.21,0.18,30.73547265726524,65.4916898103225,-15.865002717009482,10.964592453197342,25.78033384444417,-5.032812376881718,21.228514319264317,57.24686805638096,-13.20064293468846,20.801635462004743,50.086019895282526,-12.683975090679873,3.0759926250618017,7.431884014989025,-1.8909073463606738
P3,13,0.38,0.18,0.27,0.17,391.18358242183234,1701.803840450025,-491.38579683938286,60.071198182126544,260.2239483293499,-73.98244820605403,32.61413244201572,61.69737166100605,-21.579618191037525,17.612853053938142,32.76121399435161,-6.942567583598504,1.9076947938663704,4.674003724986505,-0.9086956264043196
P3,14,0.37,0.21,0.17,0.25,284.0520822074805,2783.0214590961705,-605.6526822515187,17.081475879649936,136.24495881346613,-24.427593999718372,30.953564721857944,166.84879233817293,-31.92594914679565,18.11856856197419,31.69713662885659,-5.359659342668735,2.288107763982194,4.045782428760049,-0.8128405367278674
P3,15,0.47,0.14,0.23,0.16,340.72442574979334,1367.5455348272603,-452.4039538082384,17.129518425434295,46.360029787628775,-12.13687523228146,26.066997531025432,51.790339713493275,-15.73795391690895,18.50965442228173,49.130785363296155,-11.967398796769993,3.6252260926146476,15.732523040695432,-3.886648092263341
P3,16,0.35,0.19,0.26,0.2,41.273811786448455,113.85611355386914,-32.1746236808389,16.976443731826,94.46390539999155,-16.70520966238505,44.65121108499563,151.36718803253711,-37.340580871092456,22.913067075953123,41.510783070195956,-9.60202135607672,3.6642356828702254,10.02352634691271,-2.2669717103997526
P3,17,0.4,0.23,0.18,0.19,501.1744833269828,2217.7599184536866,-663.7501903920291,16.041491106822416,48.87168000191315,-12.792538738992953,18.961066347748712,93.78704305059799,-22.87262112215021,14.768454669522962,39.4954243913129,-8.988085755947335,1.9643667089431047,6.947372522090523,-1.6510310317927253
P3,18,0.25,0.28,0.24,0.23,37.404596478722226,131.00732360751906,-35.05988241118199,22.738285848684086,54.79949473884932,-14.622582640190272,82.68622793852876,245.926221649075,-68.95171878295592,29.15527221957158,66.28871605230324,-14.585499892656857,2.463273508207682,5.944001607472634,-1.3803302405218036
P3,19,0.41,0.13,0.29,0.17,33.67064184637684,71.61055645828435,-19.130713712685,25.543659091008063,87.78385950302794,-23.973711363526945,76.96258351774358,174.2335022511163,-46.22285157259033,38.6551147326979,68.64053855445414,-13.068863887867646,7.1638832168889275,15.124498991729553,-3.9814333064329572
P3,20,0.3,0.22,0.26,0.22,6.393320244511028,15.433349815003513,-2.8933457976706607,12.684147355231671,31.85890381870722,-8.093341388477953,77.64527584327092,194.1773250427844,-49.024851999256654,22.93552304612506,43.04568914239539,-7.159880833212611,3.905586221981842,9.382684266451648,-1.778310142014057
P3,21,0.27,0.21,0.29,0.23,26.829254870275925,50.80422389792567,-11.9183743532661,16.50483706424344,49.72334764412089,-11.692499295694322,49.97451637542897,121.59098715338155,-27.175810289279468,28.767118888011886,63.767251743796514,-11.553255123963183,3.6557673001595226,6.846636231536288,-1.9046941383411093
P3,22,0.31,0.2,0.3,0.19,28.827044949164282,107.21438734019898,-29.409750834170236,18.4228469948525,65.57109612577241,-17.158904737714057,63.979372911411616,127.01328159453354,-34.190411089177246,19.484873606418603,41.843751470230515,-9.301806391595981,3.018250671482039,5.79872520146432,-1.2790350514663742
P3,23,0.33,0.31,0.16,0.2,60.23892950492696,229.81296870440275,-67.35982999955064,19.975784119952202,59.40280714304546,-14.076683408454429,99.71576406631566,300.85596834693064,-71.42237695752439,23.528096183465443,43.87764503380998,-9.979032142119902,2.057322010732773,4.607825583133808,-1.154342853203499
P3,24,0.34,0.24,0.24,0.18,16.94261689395897,32.03531375864614,-4.870610335601782,56.865426063173715,268.90571127631114,-77.85409888167969,116.53868666356435,409.4759542325931,-107.94253119965583,27.605216949840948,55.07488308584884,-13.238952421822997,2.2961034365991386,3.9764569554599563,-0.9788335874026685
P3,25,0.27,0.21,0.27,0.25,22.838596391022875,63.53303598213646,-15.138439440857992,21.323196840084776,63.23421750522036,-16.013506181083365,22.678580217289742,68.83906009898125,-18.3049878090772,14.520233181841585,27.810344332246995,-5.4568460442537745,3.582799250352222,10.078213338587176,-2.4426926333243593
P3,26,0.33,0.31,0.18,0.18,28.58715105595747,62.61874114063296,-19.407438530353907,13.263470197044171,27.720648303448726,-5.9451606201624125,44.4103407561862,113.71683864100174,-28.752652749850906,20.120876362806627,39.02692354646333,-10.211682821120155,2.225654899829203,4.519638959353914,-0.970459541821997
P3,27,0.37,0.22,0.22,0.19,36.612003685366986,101.95778709202588,-23.8481998392825,15.490095393787652,30.66583286224817,-7.5476018831176805,19.35018869175019,69.88267117780975,-18.951573795490468,22.43801858872331,49.64980739080029,-11.810221519788046,1.752561942136447,2.9033277974707827,-0.6577968256596565
