label,peak_task_idx,rel_t_sec,h1_total_persistence,lambda2,aspl,h1_zero,best_pair,z_h1_total_persistence,z_lambda2,z_aspl
P10,3,-1.625,0.25501328754849983,3.3049978084529403,2.5793268880873828,0,Delta_stability x p00,0.5701913186487862,-0.43747160947697655,1.6075481631421522
P10,3,-1.5,0.39550443669002777,3.0523648960582355,2.235360491434644,0,Delta_stability x p00,1.5096178327962357,-0.5590939513627385,0.7613357080382638
P10,3,-1.375,0.33932933289537315,4.1123882826588565,2.030512992672612,0,Delta_stability x p00,1.13399002804021,-0.048778309944569415,0.257378035032447
P10,3,-1.25,0.4941053645752581,2.61506317804775,2.4055425222673508,0,Delta_stability x p00,2.16893570827047,-0.7696194072542769,1.1800107749253934
P10,3,-1.125,0.38615884937697376,3.088133882348451,2.396985773541011,0,Delta_stability x p00,1.4471264049318464,-0.5418740735635269,1.15895980187138
P10,3,-1.0,0.3424689006687658,2.273396088595095,2.470216148428799,0,Delta_stability x p00,1.1549834730174218,-0.9341045140071175,1.33911825899106
P10,3,-0.875,0.21552453534703786,4.200561196039443,2.1992096643866446,0,Delta_stability x p00,0.30614065741260194,-0.006330173972947199,0.6723988804643538
P10,3,-0.75,0.1326736802681029,4.487701536238653,1.9163865446824941,0,Delta_stability x p00,-0.24786071887717925,0.13190470719859368,-0.023391315362859728
P10,3,-0.625,0.0,4.0234111447409955,1.6355856879810549,1,Delta_stability x p00,-1.1350139220146964,-0.09161361507280773,-0.714206420143265
P10,3,-0.5,0.3254257989738638,3.4280102335570475,2.217202582801716,0,Delta_stability x p00,1.0410208375536507,-0.3782510626353451,0.7166643430638104
P10,3,-0.375,0.04737457459172745,3.5398583369726087,2.02976432606661,0,Delta_stability x p00,-0.8182328881924769,-0.32440523493246753,0.2555361952106374
P10,3,-0.25,0.34644180217955933,3.3536822408301745,2.195210530092071,0,Delta_stability x p00,1.1815491964821514,-0.41403398758134924,0.6625603692532782
P10,3,-0.125,0.058860624761486346,4.415545875442322,1.9477541369305398,0,Delta_stability x p00,-0.7414287611123475,0.09716758461555698,0.05377798810754385
