label,task_idx,n_valid_channels,h1_total_persistence,h1_max_persistence,h1_count,h1_zero,lambda2,aspl
P10,9,14,0.12152820333582703,0.12152820333582703,1,0,2.378190967874167,3.1175178008045945
P10,10,14,0.08886634175261243,0.03777637009513768,3,0,1.4770884709385927,3.3391421208685474
P10,11,14,0.04922116505110563,0.048699928921897784,2,0,1.795814767475132,2.9220216421499297
P10,12,14,0.029926319593561623,0.029926319593561623,1,0,4.467865063385067,1.5326211874048092
P10,13,14,0.033596619944105455,0.033596619944105455,1,0,3.5764201878484494,1.9596725045374137
P10,14,14,0.28954391301928306,0.13869323073877027,4,0,2.7735464074936496,2.8600091980369404
P10,15,14,0.8416651826668071,0.25972399150561043,6,0,2.189994955991322,3.2027141104942696
P10,16,14,0.4697882906492121,0.17979005876329301,4,0,2.4401106285214493,3.0935898609686667
P10,17,14,0.0,0.0,0,1,7.275382045680925,1.2756456488303491
P10,18,14,0.0,0.0,0,1,5.601400027923042,1.5363170607468488
P10,19,14,0.0,0.0,0,1,3.2840926793369687,2.075275802422171
P10,20,14,0.01080173502646764,0.01080173502646764,1,0,2.7152280821460826,1.49777216790715
P10,21,14,0.04968371860795506,0.04968371860795506,1,0,2.129532242542899,2.479697783943184
P10,22,14,0.10049267134467121,0.10049267134467121,1,0,2.300341529464622,2.241316890996996
P10,23,14,0.0,0.0,0,1,4.038427841554199,2.021378433302868
P10,24,14,0.002173460139536121,0.002173460139536121,1,0,2.1449963555436398,1.8736712435009653
P10,25,14,0.00027868568397970694,0.00027868568397970694,1,0,1.9034957631505365,1.9740827621017674
P10,26,14,0.1424411794126338,0.05479294322022188,3,0,3.2495142255060925,2.35348967525136
P10,27,14,0.022303929399260958,0.014555213406627798,2,0,7.361024722252503,1.4810307046774838
P10,28,14,0.2565001703854677,0.11292109079954948,4,0,3.059151522303011,2.471907680229312
P10,29,14,0.6323418647655767,0.22296164658376771,7,0,1.4366551361293904,3.881322123741972
P10,30,14,0.014405545713821466,0.007691850781151532,2,0,3.327094737388183,1.6557660617928205
P11,1,14,0.03882445604694018,0.03882445604694018,1,0,1.4254078788793092,3.0770425383568156
P11,2,14,0.18318863588327083,0.1357267812287083,2,0,2.4055417683999476,2.414026849185209
P11,3,14,0.3753550152805253,0.20863634419755672,3,0,2.5318903597927522,2.727770126826075
P11,4,14,0.38046218269868315,0.24080060981274887,4,0,3.6390312934751736,2.4149836763643586
P11,5,14,0.26854640735521595,0.09862610328519672,5,0,2.7073624621152454,3.000890418804403
P11,6,14,0.0,0.0,0,1,1.6865535790977684,1.902287011606884
P11,7,14,0.29803212602827356,0.14514547009375878,5,0,2.4194052752023403,3.0755386802519435
P11,8,14,0.0453482395654482,0.0453482395654482,1,0,2.719974957153228,1.8108276697006755
P11,9,14,0.4557718987032283,0.15123434163699467,6,0,2.021910336410233,3.661921685741249
P11,10,14,1.0114488961662746,0.23889949018733436,8,0,2.2382920237755513,3.6423650978067905
P11,11,14,0.20987283774441068,0.14361296283606662,3,0,2.6609955361437954,2.542840291022333
P11,12,14,0.09510060826421796,0.03431007031663447,3,0,2.9045195020799985,2.520870456074986
P11,13,14,0.0482933071283681,0.0482933071283681,1,0,2.6728005954916694,2.046048992262276
P11,14,14,0.4174261750946163,0.21495337836739403,4,0,2.8072282409111824,2.690350729156972
P11,15,14,0.16572692425847424,0.08172319871213507,4,0,3.271399840604858,2.2830856065417926
P11,16,14,0.28074162359015087,0.26394016937209996,2,0,1.9319345294191652,2.5370570679015882
P11,17,14,0.044142031924017444,0.044142031924017444,1,0,4.7147202534917945,1.6322429029598298
P11,18,14,0.014896805001941904,0.007720917437470609,2,0,3.7810827270145118,1.7134838613032426
P11,19,14,0.1801358350894493,0.14033754334855442,2,0,2.019411714264673,2.5290300395186978
P11,20,14,0.14191075058090885,0.13064251927377013,2,0,2.8852017965224444,2.122620137943397
P11,21,14,0.09773134108622206,0.06999805588255414,2,0,2.049586739061642,2.9123679546733476
P11,22,14,0.12927975000669134,0.12927975000669134,1,0,3.107787016889211,1.9337484401991292
P11,23,14,0.2709807227689167,0.10560603339405394,3,0,3.0405023298980183,2.4892895594541216
P11,24,14,0.6982859481663236,0.2332356437853712,7,0,2.194838041815784,3.2640260325241335
P11,25,14,0.08380239517490362,0.07988022398906003,2,0,2.8955258223099536,2.8536337465708606
P11,26,14,0.4648416532938465,0.19800528403368678,7,0,2.3512173738701203,3.0586715832902787
P11,27,14,0.19952898731649915,0.0920841579164664,4,0,3.2355228459203405,2.4808869971907264
P11,28,14,0.10191321062149927,0.05298244472908553,4,0,2.6771097062837015,2.7679570160242832
P11,29,14,0.017359252316383578,0.017359252316383578,1,0,4.223740211610991,1.6186065047548892
P11,30,14,0.11625946379088603,0.11625946379088603,1,0,3.251703887219091,2.2287688157626215
P12,1,14,0.2913679436204196,0.1941460130889291,5,0,2.1427497653712706,2.908528093723373
P12,2,14,0.18941730903889575,0.09874338280485606,2,0,3.1422671781231353,2.334895832849539
P12,3,14,0.010405521118071914,0.010405521118071914,1,0,2.3399460112757184,1.824643830242894
P12,4,14,0.06600208806104957,0.06600208806104957,1,0,2.839821134437607,2.5237938951851198
P12,5,14,0.11022014418925696,0.11022014418925696,1,0,1.8291851892124291,3.0965152740481905
P12,6,14,0.0,0.0,0,1,1.7764676847893297,1.7765355435476653
P12,7,14,0.25447235458717277,0.21962319443887446,3,0,1.917524624329106,2.345128842545962
P12,8,14,0.7264972362756422,0.2167771531287439,6,0,1.9218789885714935,3.0895577686495823
P12,9,14,0.007014326574165564,0.007014326574165564,1,0,9.609798057370574,1.0888840392776715
P12,10,14,0.0,0.0,0,1,4.659505421707939,1.8228912897291516
P12,11,14,0.17638478284250636,0.08987954662318098,2,0,2.6422426691244674,2.8819551217356865
P12,12,14,0.13357864270992448,0.08767307615998554,4,0,2.3247582110884863,2.533406239549428
P12,13,14,0.14208608316401183,0.1040331504685762,3,0,2.0572471372504832,3.3616088888121993
