condition,iteration,metric,median_diff
false_session_matching,54,delta_lambda2,-0.07431996617018788
false_session_matching,54,delta_aspl,0.013229772819309371
false_session_matching,55,delta_h1_zero,-0.07142857142857142
false_session_matching,55,delta_lambda2,0.07268445016978675
false_session_matching,55,delta_aspl,-0.10247070403734826
false_session_matching,56,delta_h1_zero,-0.07142857142857142
false_session_matching,56,delta_lambda2,-0.6398921780781031
false_session_matching,56,delta_aspl,0.1557950658233631
false_session_matching,57,delta_h1_zero,0.0
false_session_matching,57,delta_lambda2,-0.14779233244996304
false_session_matching,57,delta_aspl,-0.13898637134623693
false_session_matching,58,delta_h1_zero,-0.02631578947368421
false_session_matching,58,delta_lambda2,-0.22053750258758997
false_session_matching,58,delta_aspl,0.10476432901729038
false_session_matching,59,delta_h1_zero,0.05263157894736842
false_session_matching,59,delta_lambda2,-0.045841098613668585
false_session_matching,59,delta_aspl,-0.11865071535730065
false_session_matching,60,delta_h1_zero,-0.02631578947368421
false_session_matching,60,delta_lambda2,-0.4289358122920832
false_session_matching,60,delta_aspl,0.02506029500721807
false_session_matching,61,delta_h1_zero,0.10526315789473684
false_session_matching,61,delta_lambda2,-0.5595311363036952
false_session_matching,61,delta_aspl,-0.06644591703015346
false_session_matching,62,delta_h1_zero,0.018796992481203006
false_session_matching,62,delta_lambda2,-0.8256376274539934
false_session_matching,62,delta_aspl,0.0817706411569381
false_session_matching,63,delta_h1_zero,-0.11654135338345864
false_session_matching,63,delta_lambda2,-0.6367165160994714
false_session_matching,63,delta_aspl,0.06410938499101815
false_session_matching,64,delta_h1_zero,0.015037593984962405
false_session_matching,64,delta_lambda2,-0.10018637409105402
false_session_matching,64,delta_aspl,-0.005647706378734796
false_session_matching,65,delta_h1_zero,0.15789473684210525
false_session_matching,65,delta_lambda2,0.34264596128030655
false_session_matching,65,delta_aspl,0.022492475469691797
false_session_matching,66,delta_h1_zero,0.09774436090225563
false_session_matching,66,delta_lambda2,-0.42624046240603564
false_session_matching,66,delta_aspl,-0.13705008378864592
false_session_matching,67,delta_h1_zero,-0.02631578947368421
false_session_matching,67,delta_lambda2,0.285974179321546
false_session_matching,67,delta_aspl,-0.1401941678799179
false_session_matching,68,delta_h1_zero,-0.07142857142857142
false_session_matching,68,delta_lambda2,0.10686731006831995
false_session_matching,68,delta_aspl,-0.046146987684022145
false_session_matching,69,delta_h1_zero,-0.11654135338345864
false_session_matching,69,delta_lambda2,0.18345187146647635
false_session_matching,69,delta_aspl,-0.17752563889126216
false_session_matching,70,delta_h1_zero,0.10902255639097744
false_session_matching,70,delta_lambda2,0.12781483723468212
false_session_matching,70,delta_aspl,-0.10166088018489527
false_session_matching,71,delta_h1_zero,-0.03759398496240601
false_session_matching,71,delta_lambda2,-0.5304145150888919
false_session_matching,71,delta_aspl,0.09673554546127816
false_session_matching,72,delta_h1_zero,0.14285714285714285
false_session_matching,72,delta_lambda2,0.15980487003664923
false_session_matching,72,delta_aspl,-0.17997459987092057
false_session_matching,73,delta_h1_zero,0.07142857142857142
false_session_matching,73,delta_lambda2,-0.13450234315636034
false_session_matching,73,delta_aspl,-0.07182004127243546
false_session_matching,74,delta_h1_zero,-0.10526315789473684
false_session_matching,74,delta_lambda2,-0.26741440541052097
false_session_matching,74,delta_aspl,0.04678101789368627
false_session_matching,75,delta_h1_zero,0.02631578947368421
false_session_matching,75,delta_lambda2,-0.08169083173099567
false_session_matching,75,delta_aspl,0.03778772904215211
false_session_matching,76,delta_h1_zero,0.10526315789473684
false_session_matching,76,delta_lambda2,-0.19007944731493565
false_session_matching,76,delta_aspl,0.053014071565672616
false_session_matching,77,delta_h1_zero,-0.11654135338345864
false_session_matching,77,delta_lambda2,0.16124380476837752
false_session_matching,77,delta_aspl,0.005725700757914787
false_session_matching,78,delta_h1_zero,0.10526315789473684
false_session_matching,78,delta_lambda2,-0.2597781367746288
false_session_matching,78,delta_aspl,-0.16023508376558282
false_session_matching,79,delta_h1_zero,0.10526315789473684
false_session_matching,79,delta_lambda2,0.12389684337139917
