label,is_sig_session,n_stage2,best_pair,best_r,best_abs_r,best_q_fdr,top_h1_zero_mean,rest_h1_zero_mean,delta_h1_zero,rho_h1_zero,p_h1_zero,top_h1_total_persistence_mean,rest_h1_total_persistence_mean,delta_h1_total_persistence,rho_h1_total_persistence,p_h1_total_persistence,top_lambda2_mean,rest_lambda2_mean,delta_lambda2,rho_lambda2,p_lambda2,top_aspl_mean,rest_aspl_mean,delta_aspl,rho_aspl,p_aspl,top_Q_Ricci_mean,rest_Q_Ricci_mean,delta_Q_Ricci,rho_Q_Ricci,p_Q_Ricci,top_abs_Q_Ricci_mean,rest_abs_Q_Ricci_mean,delta_abs_Q_Ricci,rho_abs_Q_Ricci,p_abs_Q_Ricci,top_E_Ricci_mean,rest_E_Ricci_mean,delta_E_Ricci,rho_E_Ricci,p_E_Ricci,top_qricci_cross_any_mean,rest_qricci_cross_any_mean,delta_qricci_cross_any,rho_qricci_cross_any,p_qricci_cross_any
P19,1,2,p11 x Gamma_mean,0.4800287162483048,0.4800287162483048,0.02614356297070194,0.0,0.05263157894736842,-0.05263157894736842,-0.14666666666666667,0.47463598473607577,0.2164631961744444,0.3126892186381638,-0.09622602246371939,-0.05914529914529914,0.7741107650674119,2.990966973678792,2.70613681550931,0.2848301581694819,0.24307692307692305,0.23148379594390017,2.546963221474389,2.8013040810414234,-0.25434085956703445,-0.07076923076923076,0.7311940230767022,-0.010216355899165756,-0.010463785909594202,0.0002474300104284462,0.027692307692307693,0.8931776409313734,0.010216355899165756,0.010463785909594202,-0.0002474300104284462,-0.027692307692307693,0.8931776409313734,-8.41205332559613,-7.4689309219200455,-0.9431224036760844,-0.1029059829059829,0.6169026969813447,0.0,0.0,0.0,,
P2,1,1,p11 x Beta_mean,0.41893124871542525,0.41893124871542525,0.033156933494929,0.14285714285714285,0.15789473684210525,-0.015037593984962405,0.05685352436149611,0.782653475203809,0.28028470032607494,0.21871604035703704,0.0615686599690379,0.038013754359668535,0.8537261736352794,3.1966327897917775,2.443998257900968,0.7526345318908096,0.2752136752136752,0.17359210168014813,2.425800482996255,2.514708941852763,-0.08890845885650789,-0.14666666666666667,0.47463598473607577,-0.004790387183410329,-0.003297496617210578,-0.001492890566199751,-0.0010256410256410254,0.99603250126501,0.004790387183410329,0.003297496617210578,0.001492890566199751,0.0010256410256410254,0.99603250126501,-7.27875170054524,-7.910216185358778,0.631464484813538,0.07692307692307691,0.7087792971610332,0.0,0.0,0.0,,
P20,0,0,p00 x Theta_mean,0.37005582851082747,0.37005582851082747,,0.2857142857142857,0.0,0.2857142857142857,0.404145188432738,0.04059085286275805,0.24993574727793205,0.21316328402228021,0.03677246325565184,-0.14669174432208915,0.47455961752277004,3.7651755227127692,2.682430941346808,1.082744581365961,0.3606837606837607,0.07026950858005442,2.240881946992105,2.5367504398249374,-0.29586849283283234,-0.24649572649572649,0.224781713419392,-0.011000622843552016,-0.013458874095146622,0.002458251251594606,0.38735042735042735,0.05057555509967233,0.011000622843552016,0.013458874095146622,-0.002458251251594606,-0.38735042735042735,0.05057555509967233,-7.967253210254394,-7.885433927900272,-0.08181928235412173,-0.2526495726495726,0.21304769357294248,0.0,0.0,0.0,,
P21,0,0,p10 x Delta_mean,-0.371802178659729,0.371802178659729,,0.42857142857142855,0.05263157894736842,0.37593984962406013,0.540108481434213,0.004396824385906068,0.3449243770698373,0.246340749251298,0.0985836278185393,-0.2695209430726048,0.1830245403067189,3.389715191331714,3.3060382486369018,0.08367694269481207,0.3887179487179487,0.04969681589973398,2.4780599898976945,2.602625047662339,-0.12456505776464466,-0.2711111111111111,0.18035473761443474,0.014024625323547956,-0.03745430973569522,0.051478935059243176,0.4523076923076923,0.02034251861202747,0.055906923085744444,0.03745430973569522,0.018452613350049225,-0.2834188034188034,0.1606030417191305,-8.328141312605139,-7.992353187086587,-0.33578812551855197,-0.3442735042735042,0.08502973232932703,0.2857142857142857,0.05263157894736842,0.23308270676691728,0.26484887678869223,0.19102685216036747
P22,0,0,p01 x Gamma_mean,0.28050112324699783,0.28050112324699783,,0.14285714285714285,0.0,0.14285714285714285,0.33333333333333337,0.09609990712790026,0.3089239788981607,0.4044784073950429,-0.09555442849688223,-0.23692307692307688,0.24387921837507223,4.533266094974407,2.4536158906939396,2.0796502042804677,0.2834188034188034,0.1606030417191305,2.5012843125966944,2.8185578397464934,-0.31727352714979906,-0.20410256410256405,0.3172533184570908,-0.08954730709318905,-0.0472193801640153,-0.04232792692917375,-0.49401709401709404,0.01031504658622342,0.08954730709318905,0.0472193801640153,0.04232792692917375,0.49401709401709404,0.01031504658622342,-7.275371237964455,-7.742524365255102,0.46715312729064706,0.15623931623931625,0.4459494061597687,0.0,0.0,0.0,,
P23,1,1,p11 x Delta_mean,0.4004491941771533,0.4004491941771533,0.042641315748101045,0.14285714285714285,0.0,0.14285714285714285,0.3396831102433787,0.09665680981276153,0.10986547408237435,0.2679573863110464,-0.15809191222867203,-0.3423076923076923,0.09394371684804805,3.9734697996397865,2.858994403435709,1.1144753962040777,0.29615384615384616,0.15059346877779903,2.114409275729465,2.5187654553985723,-0.40435617966910753,-0.1623076923076923,0.43824994793727257,-0.0024367400252652,-0.002299025352136731,-0.00013771467312846892,-0.298134262102764,0.14775348898506852,0.0024367400252652,0.002299025352136731,0.00013771467312846892,0.298134262102764,0.14775348898506852,-8.731274780934,-7.7022135318288765,-1.0290612491051228,-0.2630769230769231,0.20388349938147624,0.0,0.0,0.0,,
P24,0,0,p01 x Beta_mean,-0.36671897980356205,0.36671897980356205,,0.14285714285714285,0.0,0.14285714285714285,0.22666666666666668,0.26549127022495705,0.2789736013621447,0.2680866844119287,0.010886916950216041,0.13504273504273506,0.5107029807105489,3.1944963875046346,2.781828973158739,0.4126674143458957,0.08717948717948718,0.6719485163676728,2.4418388855339086,2.511842043003237,-0.0700031574693285,0.254017094017094,0.21049743394195,-0.0014930631598092142,-0.001562810562733043,6.974740292382885e-05,-0.05025641025641025,0.8073786434470329,0.0014930631598092142,0.001562810562733043,-6.974740292382885e-05,0.05025641025641025,0.8073786434470329,-8.090328935104036,-7.574711500782395,-0.5156174343216415,0.06188034188034188,0.7639492368746058,0.0,0.0,0.0,,
P25,0,0,p00 x Delta_mean,-0.3675777763658831,0.3675777763658831,,0.2857142857142857,0.10526315789473684,0.18045112781954886,0.1563471919941143,0.4456314980687413,0.07210532927736664,0.1588049842487523,-0.08669965497138567,-0.19383590060876027,0.3427201162683356,2.868799873683252,3.6777309160396934,-0.8089310423564413,-0.029059829059829054,0.8879342977087153,2.285100778517945,2.1638987935673883,0.12120198495055678,0.07829059829059828,0.7038293895051486,-0.0019685138414005953,-0.0016143205551471373,-0.00035419328625345805,-0.04820512820512819,0.8151046375299718,0.0019685138414005953,0.0016143205551471373,0.00035419328625345805,0.04820512820512819,0.8151046375299718,-7.6212771139296915,-8.26763112714515,0.6463540132154577,0.23965811965811962,0.23831737625711386,0.0,0.0,0.0,,
P26,1,1,p10 x Alpha_mean,-0.4637270980000476,0.4637270980000476,0.01702603253837163,0.14285714285714285,0.0,0.14285714285714285,0.3066666666666667,0.12756338932425,0.16147089725705296,0.3132751559141787,-0.15180425865712574,-0.5076923076923077,0.008105795891337303,2.313992204017514,2.4575822654829804,-0.1435900614654666,-0.23623931623931624,0.24528289688377594,2.962138017860578,2.890466511496743,0.07167150636383468,0.18085470085470085,0.3766149064336455,-0.0018622650273613626,-0.0013357951127758538,-0.0005264699145855088,-0.07147743236065099,0.7286031109896617,0.0018622650273613626,0.0013357951127758538,0.0005264699145855088,0.07147743236065099,0.7286031109896617,-7.472586152306176,-7.0263693403773555,-0.4462168119288208,-0.10564102564102562,0.6075215129314938,0.0,0.0,0.0,,
P3,1,1,p01 x Gamma_mean,-0.4335562750982836,0.4335562750982836,0.026917997767760757,0.0,0.10526315789473684,-0.10526315789473684,-0.34641016151377546,0.08298526075330057,0.2893799954867631,0.2818198225444138,0.007560172942349286,0.1819114405113087,0.3737856190688666,2.5483337243815822,2.2083071558286425,0.3400265685529398,0.24307692307692305,0.23148379594390017,2.549587404579384,2.650531389059984,-0.10094398448060016,0.059829059829059825,0.7715669137554447,-0.0061186413201182715,-0.00328203795270761,-0.0028366033674106614,-0.0947008547008547,0.645394612139203,0.0061186413201182715,0.00328203795270761,0.0028366033674106614,0.0947008547008547,0.645394612139203,-7.134011906670393,-7.607445392514996,0.47343348584460276,0.11452991452991453,0.5774539373140787,0.0,0.0,0.0,,
P4,1,4,p10 x Delta_mean,0.5045032901453499,0.5045032901453499,0.021551359680280217,0.14285714285714285,0.05263157894736842,0.09022556390977443,0.057735026918962574,0.7793646662151041,0.35891789991345174,0.25356475704894166,0.10535314286451009,0.19456317603559145,0.3408769247069164,3.575781490318915,2.9959052328589917,0.5798762574599232,0.06461538461538462,0.753825618259991,2.589910620515663,2.5617418954432636,0.028168725072399425,0.06393162393162392,0.7563528844737006,-0.02094985066663927,-0.019676848241557507,-0.0012730024250817637,0.06565224920708886,0.7499979472889896,0.02094985066663927,0.019676848241557507,0.0012730024250817637,-0.06565224920708886,0.7499979472889896,-7.758015539012724,-7.714435453460209,-0.0435800855525148,0.043418803418803414,0.8331963550117072,0.0,0.0,0.0,,
P5,1,1,p10 x Alpha_mean,0.4063287369013484,0.4063287369013484,0.03941670858257658,0.0,0.10526315789473684,-0.10526315789473684,-0.2501851166488378,0.21769612353792217,0.2791164933332603,0.14086711332936058,0.1382493800038997,0.4017780875954656,0.04189484770331833,2.8363839387070326,2.9582438918459126,-0.12185995313887998,0.14461538461538462,0.48090393977380497,2.7271609997620816,2.242078649837637,0.48508234992444477,0.4673504273504273,0.016071677656712646,-0.0021403308440265567,-0.002993487699585616,0.0008531568555590592,-0.04478632478632478,0.8280184325778593,0.0021403308440265567,0.002993487699585616,-0.0008531568555590592,0.04478632478632478,0.8280184325778593,-6.484124731933216,-7.9757829142806544,1.4916581823474386,0.6841025641025641,0.00011635745447086368,0.0,0.0,0.0,,
P6,0,0,p01 x Theta_mean,0.2206531504925014,0.2206531504925014,,0.0,0.0,0.0,,,0.19299160167459375,0.33289629491871237,-0.1399046932441186,-0.19316239316239317,0.3444323452041341,2.2464817717719145,2.4302508412763704,-0.18376906950445582,-0.0017094017094017092,0.993387547450459,2.7101105402955485,2.8645516165106377,-0.15444107621508918,-0.2676923076923077,0.18612844924081978,-0.0017456539878793283,-0.0016360034942393682,-0.00010965049363996005,0.2246537902555072,0.2698731310661505,0.0017456539878793283,0.0016360034942393682,0.00010965049363996005,-0.2246537902555072,0.2698731310661505,-8.104225583983188,-7.298149044330064,-0.8060765396531249,-0.212991452991453,0.2961698050823268,0.0,0.0,0.0,,
P7,0,0,p01 x Gamma_mean,-0.20218627575504386,0.20218627575504386,,0.14285714285714285,0.05263157894736842,0.09022556390977443,0.13471506281091267,0.5117387270018884,0.07213202744886436,0.14824125607991726,-0.07610922863105289,-0.013335613120189924,0.9484471188627447,3.40407211799956,2.8740197517860504,0.5300523662135097,0.12615384615384614,0.5391585073042712,2.2149854939306843,2.2513262875381628,-0.03634079360747844,-0.06803418803418802,0.7412267471975363,-0.0539787487732335,-0.03549695404709453,-0.01848179472613897,-0.1234188034188034,0.5480609765684805,0.0539787487732335,0.03549695404709453,0.01848179472613897,0.1234188034188034,0.5480609765684805,-8.170520581022476,-8.273465973127704,0.10294539210522835,0.02222222222222222,0.9141926183026543,0.0,0.0,0.0,,
P8,1,1,p11 x Beta_mean,-0.4660459711367711,0.4660459711367711,0.016410060588308635,0.14285714285714285,0.10526315789473684,0.03759398496240601,0.0401286176952564,0.8456815567869962,0.17589489611051293,0.23328177518744245,-0.05738687907692952,0.013342459503692285,0.9484206866074003,3.5519243956978204,2.5712910381326113,0.9806333575652091,-0.08512820512820513,0.6792591630063672,2.8125921639968188,2.6046940312658298,0.207898132730989,0.2287179487179487,0.26107325223100253,-0.02841803110226956,-0.016085428388138985,-0.012332602714130576,-0.212991452991453,0.2961698050823268,0.02841803110226956,0.041735999789608604,-0.013317968687339043,0.07965811965811966,0.6988911988929128,-7.128773476280789,-8.07883800979139,0.9500645335106013,0.416068376068376,0.03450387186690554,0.0,0.15789473684210525,-0.15789473684210525,-0.16854019432007689,0.4104874946011592
P9,1,2,p10 x Theta_mean,0.5458278478965888,0.5458278478965888,0.007844412056721789,0.14285714285714285,0.0,0.14285714285714285,0.19999999999999998,0.32728688127978534,0.3256221593000919,0.3468097632739995,-0.021187603973907565,-0.15487179487179487,0.449989931770067,2.644542980823746,2.3764654703880908,0.2680775104356554,0.3408547008547009,0.0883799949711614,2.878858097450485,2.9875270832686787,-0.10866898581819351,-0.12410256410256408,0.545829001462102,-0.04197800405997056,-0.03603290751191718,-0.005945096548053384,0.03316239316239316,0.8722326311142032,0.04197800405997056,0.03603290751191718,0.005945096548053384,-0.03316239316239316,0.8722326311142032,-7.017537704171545,-7.308578003529015,0.2910402993574701,-0.11384615384615385,0.5797433676495644,0.0,0.0,0.0,,
